"variable","value","ROPE_lower","ROPE_upper","ROPE_prec","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail","rmse"
"TIA[36,1]",0.41,0.26,0.56,0.3,0.138898159357091,0.140923235,0.438049768917981,0.443002177275,-0.5801346315,0.8573819725,1.00047304583436,7976.83489882247,6479.61217850425,0.515130878611508
"TIA[36,2]",0.36,0.21,0.51,0.3,0.150108693991922,0.149115715,0.436592789872274,0.433326344199,-0.565080941,0.876470784499999,1.00020471621944,8089.44869463287,6155.4017095805,0.48440045194881
"TIA[36,3]",0.314,0.164,0.464,0.3,0.185252166389186,0.18717018,0.435351983915964,0.434944253688,-0.525359577,0.885105420499999,1.00024208960847,7540.24687232773,5750.11962009897,0.453964385321477
"TIA[36,4]",0.217,0.067,0.367,0.3,0.162342740862663,0.153707765,0.433424289303019,0.433559216181,-0.548351991,0.884287937,1.00028038550698,7521.95492608528,6711.45426396785,0.436830113954399
"TIA[36,5]",-0.048,-0.098,0.002,0.1,0.03825722317743,0.0383130305,0.437009304286773,0.4353186094467,-0.684870962,0.7622848675,1.00043858214975,8109.44699057193,6321.74832789138,0.445413929330894
"TIA[36,6]",0.201,0.051,0.351,0.3,0.0960527814089912,0.0945230305,0.440132986002092,0.440671559727,-0.630809314,0.810521954,1.00020843332301,8369.31629731631,6623.98522045289,0.452445299927446
"TIA[36,7]",0.203,0.053,0.353,0.3,0.0821726561709906,0.0831657555,0.435743754989294,0.438249932778,-0.6426120785,0.788949433,1.00077313138036,8209.51338366779,6246.47037296211,0.452159410995107
"TIA[36,8]",0.286,0.136,0.436,0.3,0.09879960153316,0.094294885,0.437092732762688,0.436251024741,-0.604185907,0.81602593,1.00019157275417,8449.92846918362,6899.22493641623,0.475468363787717
"TIA[36,9]",0.093,0.043,0.143,0.1,0.0195123245546588,0.029103328,0.441585400160257,0.435448278384,-0.7220420305,0.746726961499999,1.00065709926335,7863.13203276626,6726.94426691115,0.447631242619245
"TIA[36,10]",0.043,-0.007,0.093,0.1,0.0773216443648614,0.080390934,0.434659776351643,0.42759421971,-0.6419237335,0.7883273565,1.00010878925114,7983.59414983723,6869.91839154485,0.435985642320732
"TIA[37,1]",0.456,0.306,0.606,0.3,0.158024926811486,0.16076825,0.428085765052581,0.428483142192,-0.548067494,0.857168565499999,1.00023164414159,8273.72097837179,6381.48541331991,0.521558874245826
"TIA[37,2]",0.354,0.204,0.504,0.3,0.214912461727335,0.210685715,0.433231456400067,0.4281506735898,-0.49078801,0.939478189,1.00058202850355,7726.38684055805,6107.6268024862,0.454985029347584
"TIA[37,3]",0.167,0.067,0.267,0.2,0.150226036892334,0.145845425,0.427222150404555,0.426363617232,-0.543442618,0.855074682999999,1.00032481902389,8555.69303218034,6018.25041691727,0.427524638809163
"TIA[37,4]",0.889,0.589,1.189,0.6,0.215557856354592,0.212291435,0.433146655835197,0.4309705617399,-0.4862825275,0.943319445,1.00029868881543,8466.19653103693,5810.14346236425,0.80069775464638
"TIA[37,5]",0.191,0.091,0.291,0.2,0.156321878021544,0.15816579,0.431110130113282,0.434819389116,-0.5491024815,0.877352579999999,1.00022555344584,8629.78528546635,6182.06118463177,0.432475761675967
"TIA[37,6]",0.678,0.478,0.878,0.4,0.0663652077881709,0.0660198535,0.424364881360877,0.4275651807651,-0.6241468405,0.7686809745,1.00021303953943,8123.6907333207,6347.19379502587,0.74441934477979
"TIA[37,7]",0.685,0.485,0.885,0.4,0.153563021758821,0.152298155,0.436642943445552,0.440024975628,-0.559680788,0.867234527999999,1.00062667574603,8319.14219246208,5834.41250121505,0.687792475802406
"TIA[37,8]",0.02,-0.03,0.07,0.1,0.289137190899908,0.28480913,0.435364780429286,0.43325750048343,-0.417356185,1.00937117,1.00025940088609,8192.36867310431,6273.02076926536,0.511814054859994
"TIA[37,9]",0.291,0.141,0.441,0.3,0.085179066488366,0.088492909,0.428318555610574,0.4272956744784,-0.624503568,0.7915958505,1.00021572713498,8206.82685019004,6470.98832311415,0.475180081288971
"TIA[37,10]",0.026,-0.024,0.076,0.1,0.170937746191587,0.17079071,0.425626560098014,0.425807894274,-0.5189070925,0.889973798,1.00044333426553,8232.28746206589,5809.4764224656,0.44960235117922
"TIA[38,1]",1.861,1.261,2.461,1.2,1.911363679385,1.9089521,0.445798898587555,0.44740605525,1.17680384,2.641526915,1.00018720905392,7656.38962140035,6485.10173709184,0.448607084318588
"TIA[38,2]",2.012,1.412,2.612,1.2,1.849609686062,1.84981865,0.444041246897607,0.44560299126,1.12420007,2.58339703,1.00012722797326,7482.54823749301,6528.28976638147,0.472777533760484
"TIA[38,3]",1.834,1.234,2.434,1.2,1.94088819424125,1.94057025,0.445158222137756,0.43814855259,1.19811816,2.678884525,1.00047852774181,7505.61367017864,6485.16630012527,0.457783964414068
"TIA[38,4]",2.271,1.671,2.871,1.2,1.96724742966125,1.96988175,0.458379471562713,0.46471570677,1.21152776,2.7177107,1.00054227696805,7708.49770458912,6407.13173828353,0.549864619674712
"TIA[38,5]",2.188,1.588,2.788,1.2,1.9254862419975,1.924522,0.456073986010626,0.45575464998,1.18031008,2.67801541,1.00027749964734,7619.93964876519,6415.02980105221,0.526204288676106
"TIA[38,6]",2.041,1.441,2.641,1.2,1.85551212229,1.8536185,0.450303568370453,0.45580869075,1.107829165,2.591720425,1.00019028084217,7992.11767377939,6353.46211260385,0.48698430139129
"TIA[38,7]",2.234,1.634,2.834,1.2,1.89117514160125,1.8882065,0.456165644892643,0.45815260722,1.147595485,2.650215885,1.00026667078001,8109.16764205051,6658.92481468474,0.570604914305421
"TIA[38,8]",1.949,1.349,2.549,1.2,1.8015712320075,1.8064124,0.445510559118721,0.45134035674,1.07611414,2.541272945,1.00015525557134,7791.63448797747,6494.81867308096,0.469244168808496
"TIA[38,9]",2.276,1.676,2.876,1.2,1.926392936995,1.92890895,0.446004714406753,0.43733260368,1.196660725,2.65962671,1.00051359718558,7468.94543700958,7024.46569048548,0.566674896876836
"TIA[38,10]",2.118,1.518,2.718,1.2,1.89192921619625,1.88921415,0.451896875793,0.45399687942,1.158788835,2.64268639,1.0004468850655,7636.13414485692,5942.92309701326,0.505265533450306
"TIA[39,1]",2.489,1.889,3.089,1.2,2.3024638428125,2.298044,0.454555791465026,0.45396277962,1.552803575,3.06312381,1.00108957465141,7895.71067903506,6094.10746225299,0.49131545657727
